rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
37,À¯°­³²,LG,0.297,125,437,401,51,119,30,0,19,206,62,2,1,49,106,101,1.05,3,0.32,3.77,0.217,62.2,0.286
38,ÀÌ¼º¿­,ÇÑÈ­,0.296,122,490,449,69,133,21,1,30,246,90,1,2,52,106,78,1.36,8,0.25,3.88,0.252,79.8,0.295
38,ÀÌ¿ø¼®,»ï¼º,0.296,121,509,449,68,133,29,1,16,212,77,0,4,46,97,129,0.75,3,0.53,4.05,0.176,75.7,0.285
40,ÀÌ¿ë±Ô,ÇÑÈ­,0.295,125,537,457,78,135,12,1,1,152,33,7,5,14,151,116,1.3,2,0.93,4.04,0.037,66.2,0.256
41,¹ÚÇØ¹Î,»ï¼º,0.294,137,613,547,106,161,27,9,9,233,59,8,5,45,142,153,0.93,7,0.52,4.07,0.132,84.2,0.266
42,È²Àç±Õ,KT,0.294,131,541,490,68,144,37,3,24,259,86,1,3,64,71,167,0.43,6,0.39,3.95,0.235,88.8,0.292
43,±èÇÏ¼º,³Ø¼¾,0.293,124,555,491,94,144,27,4,20,239,83,1,5,51,93,184,0.51,14,0.71,3.91,0.193,83.4,0.286
44,³ëÁøÇõ,NC,0.293,117,428,393,51,115,20,4,10,173,39,1,2,34,101,96,1.05,4,0.36,3.76,0.148,56.6,0.265
45,±è¹Î¼º,³Ø¼¾,0.285,122,440,389,45,111,22,0,10,163,42,1,5,32,69,140,0.49,3,0.53,4.03,0.134,59.4,0.265
46,¿ÀÁöÈ¯,LG,0.282,137,587,507,91,143,26,2,11,206,69,11,5,39,113,117,0.97,6,0.42,4.03,0.124,76.5,0.263
47,ÇÑµ¿¹Î,SK,0.282,125,516,447,87,126,29,0,37,266,108,0,8,66,90,127,0.71,13,0.44,4.17,0.313,94.2,0.312
48,°­¹éÈ£,KT,0.279,127,531,477,96,133,28,2,25,240,73,0,3,55,110,123,0.89,3,0.42,4.02,0.224,81.8,0.282
49,¿ÀÀçÀÏ,µÎ»ê,0.277,113,441,368,65,102,16,2,25,197,75,0,9,43,51,111,0.46,5,0.51,4.04,0.258,78.7,0.303
50,À±¼®¹Î,KT,0.276,123,483,435,56,120,21,0,18,195,53,2,3,39,124,127,0.98,2,0.58,3.76,0.172,62.6,0.265
51,°­¹ÎÈ£,»ï¼º,0.274,123,458,409,46,112,13,0,22,191,69,0,7,35,117,97,1.21,10,0.32,3.68,0.193,64.4,0.268
52,¹øÁî,·Ôµ¥,0.272,120,468,426,77,116,32,5,23,227,63,1,0,60,86,100,0.86,5,0.26,3.74,0.261,71.6,0.284
53,±èÇý¼º,³Ø¼¾,0.272,131,461,419,76,114,15,6,5,156,45,3,2,26,105,86,1.22,2,0.28,3.85,0.1,54.8,0.242
54,±è¼ºÇö,SK,0.269,125,423,379,50,102,18,1,4,134,52,5,3,23,116,126,0.92,8,0.71,3.51,0.084,40.9,0.237
55,¹Ú°æ¼ö,KT,0.267,124,490,427,62,114,19,0,25,208,68,0,2,44,85,113,0.75,7,0.44,4.21,0.22,71.7,0.282
56,±è»ó¼ö,»ï¼º,0.262,115,469,427,58,112,13,1,10,157,47,7,3,24,123,109,1.13,5,0.29,3.94,0.105,47.4,0.232
57,±èµ¿¿±,SK,0.259,116,427,402,57,104,15,0,26,197,72,1,3,41,93,108,0.86,10,0.17,3.7,0.231,57.3,0.254
58,½ºÅ©·°½º,NC,0.258,134,540,472,70,122,32,0,25,229,91,0,3,57,97,121,0.8,5,0.39,3.87,0.227,77.1,0.277
59,¾ç¼®È¯,LG,0.258,133,490,457,48,118,25,0,21,206,80,1,5,46,95,171,0.56,9,0.27,4.01,0.193,60.9,0.246
60,ÇÏÁÖ¼®,ÇÑÈ­,0.253,132,481,450,64,114,19,3,9,166,49,1,0,31,135,81,1.67,7,0.22,3.68,0.116,46.2,0.227
61,ÃÖÁ¤,SK,0.242,106,450,376,85,91,16,1,33,208,69,0,2,50,58,109,0.53,9,0.41,4.12,0.311,76.4,0.301
